platform,platform_group,what_to_measure,public_data_available,actual_method,metrics_available_or_needed,current_status,how_to_use_in_project
TikTok main app,short-form discovery,competitor/market engagement,Yes with Research API access or manual collection,TikTok Research API or manual search,"views,likes,comments,shares,region_code,hashtags,music_id/video_description",High priority but API access may be limited,Use as best public proxy for music virality and engagement
TikTok Music,music streaming,streaming plays and revenue,No active public dataset for ongoing collection,Historical/manual distributor reports only,"plays,revenue,country,track",Service closed globally on 2024-11-28; do not build future API pipeline,Treat as historical platform observation only
Spotify,music streaming,streams and revenue,Limited public API; no public track stream counts through normal Web API,Spotify for Artists/DistroKid royalty export/manual dashboard,"streams,followers,popularity,revenue,country/listener market if available",High priority for own release data; low value for public competitor revenue,Use to verify threshold problem and low-payout early-stage tracks
YouTube main app / Shorts,video and short-form discovery,views and engagement,Yes,YouTube Data API search + videos statistics,"views,likes,comments,publish date,channel,region search",High priority,Use for market demand and content testing signals
YouTube Music,music streaming / YouTube ecosystem,country-level revenue and streams,Limited; available mainly for owned channels/assets,YouTube Studio/Analytics export or YouTube Analytics API,"views,estimated revenue,country,watch time,RPM/CPM if available",High priority if owned asset data exists,Use to test claim that YouTube pays better and varies by region
Facebook / Instagram,short-form/social music usage,views/engagement/revenue,Limited public; dashboard/export needed,Meta creator/distributor dashboard/manual royalty report,"plays/views,likes,comments,shares,revenue,country if available",Medium priority,Use as secondary monetization/discovery channel
Luna,niche platform / distributor statement,plays and revenue,Unclear public access,Distributor royalty report/manual statement,"plays,revenue,country,track",Medium priority; define exact platform name from royalty statement,Use as niche-platform observation if statements show positive return
Tencent Music,China streaming,plays/comments/revenue,Limited public; creator dashboard/manual export needed,Tencent Musician/TME dashboard or distributor statement,"plays,comments,shares,followers,revenue,country/China market",High priority for China market,Use to evaluate China volume vs low unit payout
NetEase Cloud Music,China streaming/community music,plays/comments/revenue,Limited public; creator dashboard/manual export needed,NetEase musician dashboard/manual search/distributor statement,"plays,comments,likes/favorites,revenue",High priority for China market,Use to test comment-metric relationship and low unit payout
Apple Music / iTunes,catalog/store metadata,catalog supply not streams,Yes for iTunes catalog metadata,iTunes Search API,"track,artist,genre,price,country storefront",Already implemented,Use as supply/competition proxy rather than demand/revenue
