rank,track_id,pair_id,version,title,content_type,language,secondary_language,genre,subgenre,target_country,target_market_scope,lyric_theme,mood,original_opportunity_group,market_score,market_match_level,market_score_source,metadata_score,lyric_score,audio_score,pre_release_score,final_score,confidence,tier,recommendation,missing_fields,score_status,score_method,refresh_required,audio_path,lyrics_path
1,P04B,P04,B,Last Train to Your Heart,vocal,English,,City Pop,City Pop,,,Rainy-city romance / separation,Dreamy / Melancholic,High,88.0,original_opportunity_group_proxy,PROVISIONAL_FROM_ORIGINAL_50_SONG_DESIGN,83.33,,,87.3,87.3,0.5,High,High-potential concept; complete missing market metadata before release,target_market_scope;target_country;actual_market_csv_match;audio_quality_score;ai_lyric_fit_score;post_release_performance,provisional,85% design-group market proxy + 15% metadata completeness,Yes,data/audio/P04B.wav,data/lyrics/P04B.txt
2,P11B,P11,B,Drive With Me Tonight,vocal,English,,City Pop,City Pop,,,Night drive / city romance,Energetic / Romantic,High,88.0,original_opportunity_group_proxy,PROVISIONAL_FROM_ORIGINAL_50_SONG_DESIGN,83.33,,,87.3,87.3,0.5,High,High-potential concept; complete missing market metadata before release,target_market_scope;target_country;actual_market_csv_match;audio_quality_score;ai_lyric_fit_score;post_release_performance,provisional,85% design-group market proxy + 15% metadata completeness,Yes,data/audio/P11B.wav,data/lyrics/P11B.txt
3,P12B,P12,B,"Blue Lights, Red Hearts",vocal,English,,City Pop,City Pop,,,Midnight city romance,Neon / Bittersweet,High,88.0,original_opportunity_group_proxy,PROVISIONAL_FROM_ORIGINAL_50_SONG_DESIGN,83.33,,,87.3,87.3,0.5,High,High-potential concept; complete missing market metadata before release,target_market_scope;target_country;actual_market_csv_match;audio_quality_score;ai_lyric_fit_score;post_release_performance,provisional,85% design-group market proxy + 15% metadata completeness,Yes,data/audio/P12B.wav,data/lyrics/P12B.txt
4,P13B,P13,B,Meet Me Under the Skyline,vocal,English,,City Pop,City Pop,,,Skyline romance,Dreamy / Romantic,High,88.0,original_opportunity_group_proxy,PROVISIONAL_FROM_ORIGINAL_50_SONG_DESIGN,83.33,,,87.3,87.3,0.5,High,High-potential concept; complete missing market metadata before release,target_market_scope;target_country;actual_market_csv_match;audio_quality_score;ai_lyric_fit_score;post_release_performance,provisional,85% design-group market proxy + 15% metadata completeness,Yes,data/audio/P13B.wav,data/lyrics/P13B.txt
5,P14B,P14,B,You Left With the Rain,vocal,English,,City Pop,City Pop,,,Rainy breakup memory,Melancholic / Cinematic,High,88.0,original_opportunity_group_proxy,PROVISIONAL_FROM_ORIGINAL_50_SONG_DESIGN,83.33,,,87.3,87.3,0.5,High,High-potential concept; complete missing market metadata before release,target_market_scope;target_country;actual_market_csv_match;audio_quality_score;ai_lyric_fit_score;post_release_performance,provisional,85% design-group market proxy + 15% metadata completeness,Yes,data/audio/P14B.wav,data/lyrics/P14B.txt
6,P19B,P19,B,Player Two,vocal,English,,City Pop,City Pop,,,Arcade connection / playful romance,Playful / Neon,High,88.0,original_opportunity_group_proxy,PROVISIONAL_FROM_ORIGINAL_50_SONG_DESIGN,83.33,,,87.3,87.3,0.5,High,High-potential concept; complete missing market metadata before release,target_market_scope;target_country;actual_market_csv_match;audio_quality_score;ai_lyric_fit_score;post_release_performance,provisional,85% design-group market proxy + 15% metadata completeness,Yes,data/audio/P19B.wav,data/lyrics/P19B.txt
7,P20B,P20,B,Memories on the Platform,vocal,English,,City Pop,City Pop,,,Train-station memory / nostalgia,Nostalgic / Bittersweet,High,88.0,original_opportunity_group_proxy,PROVISIONAL_FROM_ORIGINAL_50_SONG_DESIGN,83.33,,,87.3,87.3,0.5,High,High-potential concept; complete missing market metadata before release,target_market_scope;target_country;actual_market_csv_match;audio_quality_score;ai_lyric_fit_score;post_release_performance,provisional,85% design-group market proxy + 15% metadata completeness,Yes,data/audio/P20B.wav,data/lyrics/P20B.txt
8,P21B,P21,B,Before the City Wakes,vocal,English,,City Pop,City Pop,,,Goodbye before dawn,Reflective / Romantic,High,88.0,original_opportunity_group_proxy,PROVISIONAL_FROM_ORIGINAL_50_SONG_DESIGN,83.33,,,87.3,87.3,0.5,High,High-potential concept; complete missing market metadata before release,target_market_scope;target_country;actual_market_csv_match;audio_quality_score;ai_lyric_fit_score;post_release_performance,provisional,85% design-group market proxy + 15% metadata completeness,Yes,data/audio/P21B.wav,data/lyrics/P21B.txt
9,P04A,P04,A,Tokyo After Rain,instrumental,,,City Pop,City Pop,,,,Dreamy / Melancholic,High,88.0,original_opportunity_group_proxy,PROVISIONAL_FROM_ORIGINAL_50_SONG_DESIGN,77.78,,,86.47,86.47,0.5,High,High-potential concept; complete missing market metadata before release,target_market_scope;target_country;actual_market_csv_match;audio_quality_score;post_release_performance,provisional,85% design-group market proxy + 15% metadata completeness,Yes,data/audio/P04A.wav,
10,P11A,P11,A,Neon Boulevard,instrumental,,,City Pop,City Pop,,,,Energetic / Romantic,High,88.0,original_opportunity_group_proxy,PROVISIONAL_FROM_ORIGINAL_50_SONG_DESIGN,77.78,,,86.47,86.47,0.5,High,High-potential concept; complete missing market metadata before release,target_market_scope;target_country;actual_market_csv_match;audio_quality_score;post_release_performance,provisional,85% design-group market proxy + 15% metadata completeness,Yes,data/audio/P11A.wav,
11,P12A,P12,A,Midnight Vending Machine,instrumental,,,City Pop,City Pop,,,,Neon / Bittersweet,High,88.0,original_opportunity_group_proxy,PROVISIONAL_FROM_ORIGINAL_50_SONG_DESIGN,77.78,,,86.47,86.47,0.5,High,High-potential concept; complete missing market metadata before release,target_market_scope;target_country;actual_market_csv_match;audio_quality_score;post_release_performance,provisional,85% design-group market proxy + 15% metadata completeness,Yes,data/audio/P12A.wav,
12,P13A,P13,A,Pacific City Lights,instrumental,,,City Pop,City Pop,,,,Dreamy / Romantic,High,88.0,original_opportunity_group_proxy,PROVISIONAL_FROM_ORIGINAL_50_SONG_DESIGN,77.78,,,86.47,86.47,0.5,High,High-potential concept; complete missing market metadata before release,target_market_scope;target_country;actual_market_csv_match;audio_quality_score;post_release_performance,provisional,85% design-group market proxy + 15% metadata completeness,Yes,data/audio/P13A.wav,
13,P14A,P14,A,Rain Over Shibuya,instrumental,,,City Pop,City Pop,,,,Melancholic / Cinematic,High,88.0,original_opportunity_group_proxy,PROVISIONAL_FROM_ORIGINAL_50_SONG_DESIGN,77.78,,,86.47,86.47,0.5,High,High-potential concept; complete missing market metadata before release,target_market_scope;target_country;actual_market_csv_match;audio_quality_score;post_release_performance,provisional,85% design-group market proxy + 15% metadata completeness,Yes,data/audio/P14A.wav,
14,P19A,P19,A,Neon Arcade,instrumental,,,City Pop,City Pop,,,,Playful / Neon,High,88.0,original_opportunity_group_proxy,PROVISIONAL_FROM_ORIGINAL_50_SONG_DESIGN,77.78,,,86.47,86.47,0.5,High,High-potential concept; complete missing market metadata before release,target_market_scope;target_country;actual_market_csv_match;audio_quality_score;post_release_performance,provisional,85% design-group market proxy + 15% metadata completeness,Yes,data/audio/P19A.wav,
15,P20A,P20,A,Last Train Home,instrumental,,,City Pop,City Pop,,,,Nostalgic / Bittersweet,High,88.0,original_opportunity_group_proxy,PROVISIONAL_FROM_ORIGINAL_50_SONG_DESIGN,77.78,,,86.47,86.47,0.5,High,High-potential concept; complete missing market metadata before release,target_market_scope;target_country;actual_market_csv_match;audio_quality_score;post_release_performance,provisional,85% design-group market proxy + 15% metadata completeness,Yes,data/audio/P20A.wav,
16,P21A,P21,A,Rooftop Goodbye,instrumental,,,City Pop,City Pop,,,,Reflective / Romantic,High,88.0,original_opportunity_group_proxy,PROVISIONAL_FROM_ORIGINAL_50_SONG_DESIGN,77.78,,,86.47,86.47,0.5,High,High-potential concept; complete missing market metadata before release,target_market_scope;target_country;actual_market_csv_match;audio_quality_score;post_release_performance,provisional,85% design-group market proxy + 15% metadata completeness,Yes,data/audio/P21A.wav,
17,P08A,P08,A,Electric Horizon,instrumental,,,EDM / Electronic,Chill Electronic,US,Global / US,,Calm / Uplifting,Mid,74.0,original_opportunity_group_proxy,PROVISIONAL_FROM_ORIGINAL_50_SONG_DESIGN,100.0,,,77.9,77.9,0.7,Mid,Secondary test candidate; complete missing data and compare within its A/B pair,actual_market_csv_match;audio_quality_score;post_release_performance,provisional,85% design-group market proxy + 15% metadata completeness,Yes,data/audio/P08A.wav,
