track_id,pair_id,version,title,content_type,has_lyrics,primary_language,secondary_language,genre,subgenre,lyric_theme,mood,target_country,target_market_scope,opportunity_group,market_opportunity_score,lyrics_path,audio_path,suno_url,selected_for_release,title_source,metadata_source,notes
P01A,P01,A,After Midnight,instrumental,No,,,R&B / Hip-Hop,Alternative R&B,,Moody / Intimate,US,US,Pilot / Pending,,,data/audio/P01A.wav,,No,CONFIRMED_FROM_PRIOR_50_SONG_TITLE_LIST,CONFIRMED_FROM_PRIOR_PLAN,A=instrumental; B=vocal. Exact title and opportunity group correspond to the prior 50-song plan. Blank target_country means the prior country value was not safely recoverable and should not be guessed.
P01B,P01,B,Stay Until the Lights Go Down,vocal,Yes,English,,R&B / Hip-Hop,Alternative R&B,Late-night romance,Moody / Intimate,US,US,Pilot / Pending,,data/lyrics/P01B.txt,data/audio/P01B.wav,,No,CONFIRMED_FROM_PRIOR_50_SONG_TITLE_LIST,CONFIRMED_FROM_PRIOR_PLAN,A=instrumental; B=vocal. Exact title and opportunity group correspond to the prior 50-song plan. Blank target_country means the prior country value was not safely recoverable and should not be guessed.
P02A,P02,A,Sunrise on Calle Luna,instrumental,No,,,Pop,Latin Pop,,Bright / Energetic,MX,Mexico,Low,,,data/audio/P02A.wav,,No,CONFIRMED_FROM_PRIOR_50_SONG_TITLE_LIST,CONFIRMED_FROM_PRIOR_PLAN,A=instrumental; B=vocal. Exact title and opportunity group correspond to the prior 50-song plan. Blank target_country means the prior country value was not safely recoverable and should not be guessed.
P02B,P02,B,Dancing Into Daylight,vocal,Yes,English,Spanish,Pop,Latin Pop,Sunrise / celebration,Bright / Energetic,MX,Mexico,Low,,data/lyrics/P02B.txt,data/audio/P02B.wav,,No,CONFIRMED_FROM_PRIOR_50_SONG_TITLE_LIST,CONFIRMED_FROM_PRIOR_PLAN,A=instrumental; B=vocal. Exact title and opportunity group correspond to the prior 50-song plan. Blank target_country means the prior country value was not safely recoverable and should not be guessed.
P03A,P03,A,Summer Without Maps,instrumental,No,,,Pop,Pop,,Sunny / Nostalgic,,,Low,,,data/audio/P03A.wav,,No,CONFIRMED_FROM_PRIOR_50_SONG_TITLE_LIST,PAIR_GROUP_CONFIRMED; THEME_RECONSTRUCTED_FROM_ORIGINAL_TITLE_CONCEPT,A=instrumental; B=vocal. Exact title and opportunity group correspond to the prior 50-song plan. Blank target_country means the prior country value was not safely recoverable and should not be guessed.
P03B,P03,B,Meet Me by the Coast,vocal,Yes,English,,Pop,Pop,Coastal summer / carefree travel,Sunny / Nostalgic,,,Low,,data/lyrics/P03B.txt,data/audio/P03B.wav,,No,CONFIRMED_FROM_PRIOR_50_SONG_TITLE_LIST,PAIR_GROUP_CONFIRMED; THEME_RECONSTRUCTED_FROM_ORIGINAL_TITLE_CONCEPT,A=instrumental; B=vocal. Exact title and opportunity group correspond to the prior 50-song plan. Blank target_country means the prior country value was not safely recoverable and should not be guessed.
P04A,P04,A,Tokyo After Rain,instrumental,No,,,City Pop,City Pop,,Dreamy / Melancholic,,,High,,,data/audio/P04A.wav,,No,CONFIRMED_FROM_PRIOR_50_SONG_TITLE_LIST,PAIR_GROUP_CONFIRMED; THEME_RECONSTRUCTED_FROM_ORIGINAL_TITLE_CONCEPT,A=instrumental; B=vocal. Exact title and opportunity group correspond to the prior 50-song plan. Blank target_country means the prior country value was not safely recoverable and should not be guessed.
P04B,P04,B,Last Train to Your Heart,vocal,Yes,English,,City Pop,City Pop,Rainy-city romance / separation,Dreamy / Melancholic,,,High,,data/lyrics/P04B.txt,data/audio/P04B.wav,,No,CONFIRMED_FROM_PRIOR_50_SONG_TITLE_LIST,PAIR_GROUP_CONFIRMED; THEME_RECONSTRUCTED_FROM_ORIGINAL_TITLE_CONCEPT,A=instrumental; B=vocal. Exact title and opportunity group correspond to the prior 50-song plan. Blank target_country means the prior country value was not safely recoverable and should not be guessed.
P05A,P05,A,No Signal Downtown,instrumental,No,,,R&B / Hip-Hop,R&B / Hip-Hop,,Moody / Intimate,,,Pilot / Pending,,,data/audio/P05A.wav,,No,CONFIRMED_FROM_PRIOR_50_SONG_TITLE_LIST,PAIR_GROUP_CONFIRMED; THEME_RECONSTRUCTED_FROM_ORIGINAL_TITLE_CONCEPT,A=instrumental; B=vocal. Exact title and opportunity group correspond to the prior 50-song plan. Blank target_country means the prior country value was not safely recoverable and should not be guessed.
P05B,P05,B,Call Me When the City Sleeps,vocal,Yes,English,,R&B / Hip-Hop,R&B / Hip-Hop,Late-night city connection,Moody / Intimate,,,Pilot / Pending,,data/lyrics/P05B.txt,data/audio/P05B.wav,,No,CONFIRMED_FROM_PRIOR_50_SONG_TITLE_LIST,PAIR_GROUP_CONFIRMED; THEME_RECONSTRUCTED_FROM_ORIGINAL_TITLE_CONCEPT,A=instrumental; B=vocal. Exact title and opportunity group correspond to the prior 50-song plan. Blank target_country means the prior country value was not safely recoverable and should not be guessed.
